Id,Date Added,Council Member,Recipient Self,Recipient Dependent,Recipient Staff,Source,Date Gifted,Nature / Value,Reason,Intent,Value
556,2020-10-16,Kevin Klein,yes,no,no,tuxedo tennis club,2020-09-18,"T-shirt , $25",The Tuxedo tennis club made new T-shirts for their staff member. As a token of appreciation send it to councilor Klein,retained,25
509,2019-10-17,Matt Allard,yes,no,no,CN,2019-09-20,Hospitality on CN train touring Winnipeg,I was invited to tour along with Council colleagues CN operations in Winnipeg which included a briefing of CN operations,retained,
327,2018-12-21,Scott Gillingham,no,yes,no,Winnipeg Construction Association,2018-11-02,Two complementary tickets to organization gala - $250/ticket,Invitation to attend the industry dinner.,Attended with spouse.,250
248,2018-10-31,Brian Bowman,yes,no,no,Precision ADM,2018-09-18,Fabricated bottle opener - $50,Machine demonstration,Retain,50
110,2018-06-18,Brian Bowman,yes,no,no,Janette Sadik-Khan - Bloomberg,2018-04-16,Book - $27,Meeting,Retain,27
254,2018-10-31,Brian Bowman,yes,no,no,Winnipeg Football Club,2018-10-09,Blue Bombers Legacyt Dinner - $100,Event attendance - protocol and speaking,Retain,100
332,2018-12-28,Ross Eadie,yes,no,no,Albert El Tassi,2018-12-10,Box of chocolates. $50.00,Christmas gift,retained,50
452,2019-08-19,Jeff Browaty,yes,no,no,We Will Rock You Musical,2019-09-03,VIP Tickets (value ~$258.00 for 2 tickets),VIP Tickets,Retained,258
566,2021-01-07,Brian Bowman,yes,no,no,Rogers/Orange Shirt Society for Orange Shirt Day,2020-09-22,Orange Shirt - $10.00,Courtesy Gift,Retained,10
3,2018-03-01,Brian Mayes,yes,no,no,#ForksLearnToRun,2018-02-28,$20 Gift Card for the Forks Market,Participation and speech at run club,Retain for personal use,20
346,2018-12-30,Matt Allard,yes,no,no,Ajay Chopra,2018-11-03,Traditional Clothing,Ajay Chopra gave my son and I traditional clothing from India to wear at Diwali,retained,
424,2019-06-04,Brian Bowman,yes,no,no,Department of National Defence,2019-05-23,"Award of Excellence ""Most Supportive Employer in Manitoba"", frame, pamphlet- $50",Award,Retain,50
560,2021-01-07,Brian Bowman,yes,no,no,All Seniors Living Centre,2020-12-11,Cocoabeans Bakeshop $10.00,Courtesy Gift,Retained,10
425,2019-06-04,Brian Bowman,yes,no,no,Mondetta,2019-05-29,Sweaters - 4 x $95 = $380,Courtesy Gift,Retain,380
116,2018-06-18,Brian Bowman,yes,no,yes,Dr. Grant Pierce - St. Boniface Hospital Albrechtsen Research Centre,2018-04-21,Celebreation of 30 Years of Research Gala - $400,Bring greetings,Retain,400
272,2018-12-10,Vivian Santos,yes,no,no,St. Michaels Orthodox Church,2018-11-18,Lunch,attended as Acting Deputy Mayor to the 100th Anniversary of St. Michaels Orthodox Church,retained,
172,2018-06-28,Cindy Gilroy,yes,no,no,Winnipeg Fringe Theatre Festival,2018-06-26,Fringe Festival Passes (2) $288.00,VIP Tickets to Councillors,I do not intend to use the passes.,288
543,2020-01-17,Kevin Klein,yes,no,no,Engineers Geoscientists Manitoba,2020-01-16,$175.00 x2 (+GST)=392.00,Complimentary tickets to City Councillor (+1).,retained,392
